	CP.13.sed.PM	CP.39.water	CP2.42.water	CP.12.sed	CP.49.water	CP.7.sed	CP2.38.water	CP.35.water	CP.14.sed.PM	CP.45.water	CP.31.water	CP.3.water	CP2.42.sed	CP2.3.water.PM	CP.12.water	CP2.0.sand	CP.39.sed	CP2.28.sed	CP2.28.water	CP.42.water	CP.12.sed.PM	CP2.2.sed.PM	CP2.13.water	CP.3.sed	CP.5.water	CP2.34.water	CP.14.sed	CP2.24.water	CP2.0.intake	CP.47.sed	CP2.16.water	CP2.36.sed	CP.46.sed	CP.35.sed	CP.42.sed	CP2.2.water.PM	CP.0.sand	CP2.2.water	CP.53.sed	CP.13.water	CP2.31.water	CP2.0.sed	IW.0.water	CP.24.water	CP.31.sed	T.0.sed	CP2.0.water	CP.45.sed	CP2.38.sed	CP2.3.sed.PM	CP2.13.sed	CP.14.water.PM	CP.47.water	CP.21.sed	CP.24.sed	CP.48.sed	CP.5.sed	CP2.10.sed	CP2.35.sed	CP.27.water	CP.1.sed	CP2.5.sed	CP.16.water	CP.7.water	CP2.31.sed	CP2.3.water	CP.16.sed	CP.13.sed	CP.1.water	CP2.1.sed	T.0.water	CP.46.water	CP2.16.sed	CP2.2.sed	CP.48.water	CP2.20.water	CP.21.water	CP2.3.sed	CP2.5.water	CP.19.water	CP.10.water	CP.53.water	CP2.10.water	CP.0.sed	CP2.36.water	CP2.20.sed	CP2.37.water	CP.14.water	CP2.35.water	CP.49.sed	CP.13.water.PM	CP.0.water	CP.12.water.PM	CP.27.sed	CP.19.sed	CP.10.sed	CP2.8.water
CP2.37.water	0.44291851	0.333984	0.23031526	0.39254888	0.30202056	0.45927967	0.24914499	0.30765298	0.40420174	0.32852336	0.36063724	0.45320369	0.34748502	0.48471413	0.70879021	0.57659573	0.3323686	0.38662643	0.3368128	0.63469233	0.43907441	0.39246431	0.43229912	0.44892869	0.47708944	0.54479578	0.40221425	0.28727861	0.47377616	0.36435028	0.44413916	0.44660153	0.37703652	0.38337945	0.5270333	0.41721264	0.54070155	0.4229613	0.43130935	0.45209258	0.2858055	0.53418158	0.42310891	0.39211672	0.36708522	0.40573393	0.57089109	0.37682878	0.34934715	0.41709031	0.38351011	0.35127431	0.27210967	0.38090879	0.32496	0.36240932	0.45816416	0.39013862	0.44773722	0.36744161	0.49737874	0.34396137	0.33518579	0.47132993	0.33540051	0.40164086	0.36894524	0.36717685	0.50367208	0.44173706	0.35497346	0.36468104	0.37871166	0.41578536	0.27942091	0.34865604	0.30899572	0.34242223	0.50456914	0.33285009	0.56231404	0.44577863	0.46731893	0.54558281	0.26874146	0.37304445	0.0	0.38593293	0.40069205	0.36606827	0.39275381	0.51902274	0.80089977	0.44368936	0.39687555	0.45877577	0.54496406
CP.14.water	0.42227214	0.41742769	0.37363851	0.40363089	0.41726335	0.46483518	0.41383284	0.40134759	0.33518759	0.39873687	0.44965005	0.48926064	0.33863815	0.51990236	0.72682308	0.50893174	0.27515329	0.2673501	0.40377937	0.61295764	0.20499526	0.20323144	0.50136247	0.45555194	0.50492207	0.59850419	0.41608336	0.3970569	0.48544409	0.42584821	0.45550309	0.45974542	0.40766487	0.23377046	0.36702977	0.44355133	0.49598112	0.44151489	0.43197518	0.47277487	0.38299011	0.45973431	0.41985028	0.22314231	0.23935329	0.2264519	0.53147864	0.38061543	0.36890732	0.43325892	0.19630316	0.36507092	0.42261204	0.19687682	0.38577869	0.40984893	0.47285551	0.17964267	0.45254835	0.37736776	0.49636047	0.24282046	0.43658518	0.5384444	0.2528218	0.39447053	0.19436951	0.24484246	0.50292499	0.36462521	0.31653571	0.47392957	0.19278665	0.42169321	0.4287169	0.44499969	0.38474137	0.22042056	0.55688321	0.40921046	0.61342793	0.46197682	0.5079673	0.4844813	0.39058585	0.25224116	0.38593293	0.0	0.47680788	0.40984706	0.3825566	0.49817223	0.7911914	0.22126393	0.1991845	0.4952095	0.58451319
CP2.35.water	0.51906016	0.44669409	0.44618345	0.46299707	0.44464795	0.53075488	0.36240434	0.46329427	0.47944139	0.42459849	0.47502335	0.53178782	0.42274089	0.55244652	0.45471198	0.65704868	0.40674527	0.47191036	0.41122675	0.66872634	0.51122364	0.47658448	0.52264997	0.50919298	0.55677107	0.25769417	0.464605	0.4077773	0.58261053	0.35923751	0.53115993	0.25737424	0.41200013	0.46793678	0.60439999	0.50118107	0.60921184	0.50571309	0.50576112	0.32418137	0.40246025	0.61321945	0.48512898	0.46016265	0.44964811	0.49290072	0.6467681	0.42912723	0.4308768	0.50799758	0.47809498	0.3196826	0.36166354	0.46258164	0.40635773	0.37523619	0.52945951	0.48489851	0.33984901	0.44066084	0.57476029	0.4372707	0.40404212	0.42957512	0.4215371	0.47141061	0.45385583	0.45612016	0.57980593	0.52049921	0.42531387	0.31082421	0.47132453	0.50958321	0.43650872	0.45373635	0.43156657	0.44065488	0.38886337	0.42685554	0.31774865	0.54419468	0.55292226	0.6144669	0.38039911	0.46335426	0.40069205	0.47680788	0.0	0.365677	0.40278712	0.59181585	0.54089014	0.51599017	0.48175076	0.53343792	0.61737245
CP.49.sed	0.40169036	0.41218059	0.36873345	0.34694121	0.30314987	0.41770676	0.28036336	0.39254675	0.34448313	0.31680943	0.39903769	0.4136286	0.31150635	0.42155362	0.56489004	0.58329004	0.30686743	0.36748164	0.38700125	0.61468114	0.44020336	0.3887584	0.38892485	0.4275242	0.44673009	0.48300445	0.3065787	0.35755748	0.51980153	0.19830105	0.47699403	0.31797332	0.27883191	0.34296906	0.53683887	0.40465483	0.5188485	0.40615929	0.39289104	0.35167741	0.37193943	0.53485401	0.34470888	0.35801135	0.34760543	0.40239176	0.56864372	0.30396385	0.31955468	0.38982058	0.37104832	0.28430242	0.30170336	0.3627261	0.32757241	0.22190627	0.40798613	0.38739299	0.31534347	0.38266462	0.50956795	0.31753078	0.3096171	0.33489368	0.3168671	0.30433431	0.36285321	0.33345056	0.50914231	0.43139253	0.36278637	0.27777579	0.37225999	0.38067407	0.31349378	0.34220949	0.35662241	0.3265628	0.35737173	0.33101322	0.41527403	0.3794255	0.41411364	0.52760616	0.37517029	0.33709346	0.36606827	0.40984706	0.365677	0.0	0.3409734	0.52266859	0.70753282	0.43723589	0.38568746	0.37244896	0.46828569
CP.13.water.PM	0.30572064	0.40377173	0.42898557	0.28713393	0.40405125	0.42570246	0.35400206	0.40297575	0.34568773	0.34542203	0.40270185	0.42899726	0.33095317	0.42932248	0.60781126	0.56474548	0.31419565	0.37181828	0.37105457	0.48819308	0.40507894	0.38180536	0.46568943	0.41811746	0.45083615	0.48120379	0.33807118	0.37822166	0.50427175	0.31188165	0.46960749	0.36309874	0.33074173	0.36292218	0.39155453	0.38466197	0.4932881	0.39365053	0.34324642	0.31132977	0.38413027	0.51077605	0.39051324	0.37864849	0.36493915	0.38483204	0.55609818	0.35049325	0.33897072	0.38855312	0.38598854	0.27843098	0.34989454	0.36406502	0.34604195	0.31624185	0.42211917	0.38776047	0.35036795	0.3533193	0.48333693	0.33579384	0.29555806	0.39813192	0.33257046	0.36012685	0.34848457	0.36121628	0.48742859	0.40757219	0.32114131	0.36082527	0.37813861	0.38874409	0.39986628	0.39993145	0.36595827	0.33365378	0.44983607	0.32723898	0.50784985	0.40411674	0.47410326	0.50485536	0.37873157	0.36806098	0.39275381	0.3825566	0.40278712	0.3409734	0.0	0.49348137	0.72406058	0.37443611	0.39045766	0.43021652	0.53242849
CP.0.water	0.35909261	0.51491098	0.51873098	0.4236152	0.50029388	0.39636163	0.54943033	0.51673174	0.46623498	0.40294714	0.54740462	0.36687967	0.44096614	0.49405269	0.76179657	0.38426529	0.51822172	0.53617519	0.5091111	0.58449181	0.47459449	0.46741161	0.57513174	0.31603289	0.43133108	0.64038158	0.46417815	0.50339391	0.50025334	0.4697784	0.37627482	0.52061561	0.41962008	0.52528993	0.49562786	0.3658258	0.27024057	0.35537256	0.54361699	0.53644718	0.5106643	0.26543952	0.53197117	0.50799658	0.51818608	0.52315625	0.25012517	0.36470382	0.43765229	0.36212769	0.49862119	0.51265099	0.50106881	0.49598449	0.49422862	0.42925614	0.35654256	0.49908016	0.49025808	0.49034105	0.23043196	0.46688517	0.50755791	0.50329085	0.48690561	0.4791327	0.46469482	0.48750911	0.24230514	0.30485672	0.48004846	0.55003892	0.49260986	0.3493399	0.50535377	0.5272396	0.4920036	0.50148979	0.58100298	0.48752843	0.62624276	0.55176113	0.55744655	0.30794437	0.49220002	0.52587801	0.51902274	0.49817223	0.59181585	0.52266859	0.49348137	0.0	0.84966053	0.50370296	0.50284179	0.46975507	0.63591384
CP.12.water.PM	0.80294478	0.83863519	0.83394059	0.77415141	0.78641871	0.80933652	0.73837394	0.83368503	0.80140875	0.78315983	0.83769309	0.81190766	0.77470443	0.83771064	0.2693389	0.85224832	0.77036045	0.77239396	0.80709699	0.85878848	0.81274304	0.792008	0.83235727	0.78682088	0.82849147	0.40607969	0.7579187	0.8026465	0.90047607	0.72095953	0.76828985	0.6108778	0.77001145	0.76547042	0.83839773	0.80248099	0.83352424	0.79830637	0.82039798	0.61331297	0.81933109	0.84835377	0.79997296	0.78463471	0.76414775	0.79789112	0.86830092	0.76835543	0.7524723	0.80652334	0.79303832	0.6707373	0.73682512	0.7817657	0.78986237	0.73062807	0.81371737	0.79686641	0.68273577	0.81874364	0.86116583	0.77063558	0.74273524	0.70668688	0.76549518	0.76213181	0.77770253	0.77593772	0.86630235	0.81107647	0.79319475	0.67667133	0.79624515	0.80004881	0.79182092	0.82251877	0.79962601	0.76451752	0.65759451	0.76382824	0.49060439	0.84206254	0.84492814	0.83637438	0.80105639	0.77986818	0.80089977	0.7911914	0.54089014	0.70753282	0.72406058	0.84966053	0.0	0.80998135	0.79945036	0.81951966	0.85883829
CP.27.sed	0.40273325	0.46139664	0.41744594	0.38734996	0.45751774	0.48935045	0.45902661	0.4270693	0.38609746	0.43232148	0.49194728	0.51831131	0.34970094	0.55265745	0.73448859	0.51918695	0.3166913	0.29987175	0.43137128	0.58071355	0.22166155	0.23305363	0.53719152	0.47750575	0.53344458	0.63292122	0.45130009	0.41370439	0.51155266	0.45741054	0.47758128	0.48799867	0.43402428	0.28187127	0.34750264	0.47726064	0.47596651	0.47463046	0.37258915	0.51334102	0.40372422	0.47529502	0.44265837	0.22405856	0.25393246	0.24429885	0.53246083	0.40305274	0.39112541	0.46064605	0.21103309	0.42058475	0.46736445	0.21212665	0.40704082	0.44280006	0.49828216	0.22457042	0.47270488	0.38338041	0.51293072	0.27198351	0.48544821	0.57232227	0.29217479	0.42959082	0.25286352	0.26055979	0.51846854	0.37499944	0.329478	0.5139534	0.2087988	0.44837628	0.47605495	0.47241722	0.43400664	0.27726099	0.59300036	0.45101353	0.65073058	0.42503317	0.54611725	0.47620917	0.4318799	0.29380717	0.44368936	0.22126393	0.51599017	0.43723589	0.37443611	0.50370296	0.80998135	0.0	0.21495649	0.52530227	0.61443984
CP.19.sed	0.41683666	0.42387171	0.38754061	0.39664659	0.41287171	0.45275396	0.41523006	0.38982365	0.34612091	0.40073485	0.44618893	0.47698566	0.33344253	0.51226636	0.72360176	0.52392224	0.30578431	0.29935362	0.39689291	0.62621186	0.24760166	0.19683644	0.49526211	0.447404	0.49773499	0.61089899	0.4093157	0.38066734	0.48266923	0.40981115	0.46256701	0.452662	0.39476781	0.28244266	0.40105073	0.43741039	0.4985424	0.43654205	0.4157076	0.47068639	0.37644923	0.47891995	0.41928546	0.20582169	0.20774637	0.22082154	0.5345235	0.37166621	0.36456846	0.41989122	0.17888382	0.37114022	0.4227347	0.1837178	0.37121881	0.39815913	0.45615177	0.18568669	0.44911165	0.37191402	0.49830919	0.21607808	0.43602892	0.52940892	0.25459338	0.38605211	0.20763673	0.1967456	0.50222673	0.36023515	0.29737019	0.47264213	0.17030089	0.41034871	0.43315106	0.43094231	0.37800569	0.2388937	0.55332379	0.40574664	0.60614685	0.45926584	0.50614318	0.48873284	0.39856015	0.28329016	0.39687555	0.1991845	0.48175076	0.38568746	0.39045766	0.50284179	0.79945036	0.21495649	0.0	0.47985528	0.58307647
CP.10.sed	0.28009608	0.42511955	0.45253595	0.26837787	0.37101897	0.1927333	0.42801032	0.43646543	0.32617957	0.34878993	0.43941349	0.25391506	0.42097115	0.3135584	0.62714328	0.58651512	0.41474219	0.46605048	0.39813311	0.65460258	0.51957606	0.45971428	0.34283333	0.2890683	0.27481699	0.60285633	0.30781536	0.43327426	0.53909307	0.32355771	0.49865295	0.44020448	0.32548227	0.44207328	0.59230287	0.29953167	0.51281146	0.29591353	0.50368538	0.41253689	0.43033009	0.50928329	0.38500746	0.45692747	0.46112337	0.49586444	0.55278598	0.36708135	0.42009506	0.30479022	0.46500372	0.41429972	0.43487232	0.45612366	0.38167515	0.33651897	0.19265863	0.47370541	0.43066441	0.40349242	0.41578011	0.39381498	0.3535665	0.2779201	0.38967682	0.33502287	0.41298473	0.41382424	0.40714089	0.40134889	0.43835951	0.39744459	0.47536493	0.29353761	0.38256656	0.36501843	0.39627265	0.42053416	0.40745851	0.3554829	0.45113399	0.3962517	0.32375664	0.5312868	0.41489317	0.44285186	0.45877577	0.4952095	0.53343792	0.37244896	0.43021652	0.46975507	0.81951966	0.52530227	0.47985528	0.0	0.41054605
