pc vector number	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97
CP.13.sed.PM	-0.208926994235	0.175006463315	0.0747514889197	0.0590880333164	-0.0341650655492	0.0142731863404	-0.00887775466373	0.0687856205254	-0.0135615748061	0.00281863399367	-0.0821177786306	0.122444083275	-0.114214266218	0.125659280679	-0.056199064222	4.23143758774e-05	-0.0379396737111	0.0515726033825	-0.0135948453221	0.0279281950816	-0.00368969649897	0.0449228798148	-0.0395246836624	-0.0176351272139	-0.0224619267793	0.00492239224303	0.0293693475514	-0.0425430112366	-0.0490671245746	0.0113470087961	0.00657182810798	0.00411880343472	0.0228438262665	0.00645876698856	-0.0619337921886	-0.0159280016482	0.0310391904161	0.0234012995911	0.0807838658524	0.0321783266226	-0.00338069589651	-0.0665554827298	-0.0252762740648	-0.0188569781661	0.0471333756389	0.0611676682741	0.0546611053213	-0.0744104662025	-0.0186067908214	-0.00697967827849	-0.00441887550761	0.0272366344897	0.0212274275124	0.0380634214247	0.0642147536526	-0.0139379551845	-0.0130815298923	-0.021357047811	-9.18832080036e-05	-0.0214013380255	-0.0228265926897	-0.00756186464425	-0.00626502286557	0.0156204223059	0.0585260061097	0.0272194034558	-0.0324291232612	-0.0387415210734	-0.0493929199652	-0.0294465513702	-0.00150449839157	0.0234157076548	0.0207228886825	0.0517211626285	0.0143835439027	-0.0647021821344	-0.0842897311304	-0.00862392695447	0.058908673192	0.0146193231378	0.0184596417819	0.0187847968406	0.0821912839172	-0.0915610746745	-0.0319812386862	0.000534282680007	0.0649628950478	-0.0287093631746	-0.0896598643858	0.119018873661	-0.0209296043455	-0.0158957995183	0.0469236307277	-0.0283365471117	0.00189596774206	-0.0114490619737	2.4271198481e-09
CP.39.water	0.0618280190227	-0.255809168217	0.00475049038141	-0.0971690543229	-0.0217141273761	0.0343754616429	0.0334306757136	0.045953819882	0.0285630053246	-0.0424988300305	0.118476090352	0.135953202493	-0.0927352488474	-0.108508597613	-0.0011848591808	-0.0520988682799	0.0613332389933	0.0340999736616	-0.0703464075677	0.020721637368	-0.174105921199	0.0703990461187	0.0108753829655	0.0540111955263	-0.0645822251365	0.0227106507043	-0.0632097411014	0.0595961575728	0.0404551677711	0.0322256388233	0.0798639979939	0.0845703280252	-0.090221591257	0.00320267865656	-0.0238510567603	0.0345119722673	-0.0375633250313	0.0243044370787	-0.0460658203329	0.0480568401029	-0.0254149106513	-0.0627198317676	-0.0557580522018	0.077892424115	0.0359334371126	0.0611392213514	0.0164845086355	-0.0339785135938	-0.0375334147466	-0.0499557945674	-0.0548294890551	-0.0339124856957	0.027195775571	-0.00248348709423	-0.0125601435305	-0.0313777989815	0.0342260764428	0.0389192550783	0.000794123854918	0.103734302978	0.0314917262879	-0.0393777018391	-0.0602778153694	-0.0232696700685	0.0640107920116	-0.00921502875352	0.0351325696661	-0.0441007801195	0.0487534939942	0.0316448453992	0.00221200439279	-0.0579275615809	-0.00377849619381	-0.0575253495491	-0.0376535095411	-0.00816033725304	-0.000707358753679	0.0185287987361	0.0242479461663	0.0121422639485	-0.0205550665752	0.0343706503815	-0.0293327891983	-0.0249864114167	0.00605907122041	-0.0365568636641	-0.0521868850383	-0.0273386941321	-0.0330825105909	0.0147957690547	0.0204452233357	0.0137821908811	-0.0215050538068	0.0232106892269	0.00281367300892	0.00158522959465	2.4271198481e-09
CP2.42.water	0.0919089869475	-0.206726530094	0.0873922576782	-0.164202621404	-0.053941331109	0.0715311360523	-0.0457208544172	-0.00924249015363	-0.0510220337339	-0.010432157013	-0.0202206460101	-0.00162400767744	-0.0792704681343	0.0808614908885	-0.00524368989884	0.0170585576223	-0.027324517377	0.0474082102489	-0.0447853319948	-0.0499692057113	0.0634652577839	0.0502295510224	0.0724925319347	0.00587708703286	0.0821070275224	-0.038664763023	-0.0387708265893	-0.0269304092274	-0.0678632960354	-0.00897446384271	-0.0241517747114	0.0161126922974	0.00719260195396	0.00973983275835	0.0522774844859	0.0837017324023	0.0300340012863	-0.0590776356688	0.0564785172295	-0.015227504968	-0.0923445053619	0.0314734619678	-0.0178379321424	-0.0412825844596	-0.0410079859013	0.0130569204312	0.10486044152	0.0569887378973	-0.0616855804991	-0.0350700827199	-0.0656885785628	-0.0135943283537	-0.0227080239483	0.0493892178943	-0.0803950677897	-0.0496665701328	-0.0945893561779	-0.0751000201916	-0.0491903255934	-0.0807927881616	-0.0170091231161	-0.0537924344627	-0.0674515642935	0.0243948892868	0.00525512630923	0.0709604153303	0.0691737378779	0.0177448190704	0.0649274853032	0.00221094105579	-0.042588198693	0.0540703990401	0.00972879030724	0.0303748389423	0.0105139605365	0.0549795980533	0.0476988172939	-0.0242462061916	0.0243923458396	-0.0562487523426	-0.0441321594019	0.0601142140735	-0.0272404792417	0.0040555034601	0.00383861246609	0.000586134562815	-0.033412051735	-0.0216871713967	-0.0035557635732	0.0063251789947	0.0282655400308	0.0303128973988	-0.00331978816815	-0.0217713329102	0.00595717976005	-0.0121213346403	2.4271198481e-09
CP.12.sed	-0.224328478627	0.0808820573877	0.174090709691	0.0812790034071	-0.13308820137	-0.00656091591501	-0.0200681231221	0.0745641458384	-0.03042535755	0.102270395374	-0.069287274303	0.023258383155	0.0117876875559	0.037675224077	0.00889999677288	-0.0638828498822	-0.0497443108298	0.00983747984779	-0.0234911282869	-0.0617936805602	-0.0373463468936	0.0723253562286	-0.044691173448	0.0224507296205	-0.0279091147395	-0.00218671896356	-0.0442231095482	0.0718763012382	-0.0190274337587	-0.00909076072193	-0.0327834529864	-0.0493790920991	-0.0117968499426	0.00275085995011	0.039012380473	-0.0260206750309	-0.02625101316	-0.0188271542516	0.0626123219471	0.0283612605875	-0.00850599290938	0.0588909832863	0.0546177889059	0.0524209252038	0.0325042895904	-0.0612908052309	0.04724768693	-0.0117870460108	-0.0434324055222	-0.00747135781766	0.0372769553727	-0.074561022506	0.0823343381341	0.00575074184553	-0.00495913509714	0.0107224803039	0.0169311991202	-0.0114195242023	-0.0461935604203	0.0482088383982	-0.00384095607962	-0.0608980247329	0.0281953719066	0.0453445947267	-0.028922699801	-0.0536975151977	-0.049904711709	0.041859589033	0.0089816755906	-0.0123246277847	0.00102037250648	-0.0364231728864	-0.0402480087861	-0.0286311551144	-0.00117876325701	0.0598781621597	-0.0429371673874	-0.00675185787947	0.0113942689179	-0.0155383412919	-0.0181721929448	0.037911818349	0.0148687731257	0.0321664380988	0.014620305095	0.00910793407705	0.0424040505679	-0.114981640943	0.127285424027	0.0124921933389	0.0412906000013	-0.104234965131	-0.0171125379386	0.0264331496132	-0.0155330382064	0.00530894188894	2.4271198481e-09
CP.49.water	-0.0134082119461	-0.273347940737	-0.00337482112963	-0.0474393637595	-0.0294627250612	0.107865455509	-0.0510201107103	-0.114108382965	-0.174624192429	-0.0532115079309	-0.0806148182349	0.0712444853253	0.112254665622	-0.0372426215276	-0.0122384626339	-0.0255001359217	0.0340235233736	-0.0357558579049	0.00162873094955	0.00291175438965	-0.0754048453436	0.0134992148495	0.0276345120427	0.0881339970426	-0.0841188029178	0.0674578798523	0.0587313264563	0.0320488633962	-0.0117437136722	0.0230916193588	-0.0640992812786	0.0253432852337	-0.0193441981405	0.0190572761494	-0.0361523513055	0.0480046423024	-0.0023392440691	-0.0244976704283	-0.00220525594073	0.0203238769775	0.0260477162169	-0.00768046367947	0.00158458784989	-0.0584264410617	-0.00851544898537	0.00186239637979	-0.0218311796425	0.0326091133612	-0.0377509623287	0.0121598639232	0.0209033495113	0.0471913106541	0.0161231293688	0.0267895810167	0.0210649875834	-0.00772153991579	-0.00536922972396	0.0717562549176	0.00762542059343	-0.0150222543039	-0.0613113588833	0.0415156765549	0.0411400752126	0.041014844345	0.0439255634547	-0.0162994099676	-0.0207173144448	0.0297822152389	-0.0166857091408	0.0395834470099	-0.0142140322808	0.0048669190845	0.026373395952	0.0226514552019	-0.000149135404605	0.0140462238804	0.00619600150229	0.0736076449257	-0.00491765798978	-0.0692356774427	-0.0144761903522	0.0376491098518	0.102426586192	0.00761550136396	0.0205105407495	0.0382717158463	0.0272204401907	0.080338822317	0.0980547051947	0.069440349419	0.0316509948274	0.0928300672406	-0.00475978690019	0.0176794034478	-0.0160597020318	0.0203654617259	2.4271198481e-09
CP.7.sed	-0.349144681319	0.0992563055598	0.0286435150177	0.0681555773095	-0.166585455646	-0.0110625427362	-0.0159472093769	0.0618157805346	0.00822904265732	-0.0494819921388	-0.0436677170207	0.0120282784237	-0.0136150744946	-0.015576429863	0.0440595892578	0.0199034350784	0.0103463107944	-0.0361749347805	0.0283736408708	0.0473785600796	-0.0350408193992	0.000789054363843	0.00433616919345	-0.0105068899651	-0.0501540334695	-0.040848530155	8.00993941232e-05	0.0105245587941	0.0277384958349	0.000442800219071	-0.076928269875	0.017709459737	-0.0186828304404	0.0252310959627	0.0267824520136	0.0360824614383	0.0182272172919	-0.0400309143522	0.00316174943218	-0.0192889155453	4.89325467039e-05	0.0506955453831	0.0350094249065	0.000624952076454	0.00637045089317	-0.0218322761022	-0.0406128582499	0.0197359826304	-0.00229571933113	-0.0227699223256	-0.0110158310848	0.0127831696065	-0.0522186988166	-0.00253762956095	-0.0169369385489	0.00800630700512	-0.0287421853397	0.0627591053321	-0.00106384332496	0.0135328995559	-0.01925418929	-0.000955283886555	-0.0438789495673	0.00698094161282	0.000847810226639	-0.0408274548483	-0.00857439833696	0.0156468318219	0.0328899372198	-0.0429767354521	-0.0105482549045	0.0128093210927	0.0525731455578	0.0368327385883	-0.00548902064101	0.00476983784153	0.0345379516514	0.00773379819285	0.000397916994804	0.0222769487407	-0.00526711325411	0.0079943632401	-0.0158549111305	0.0418828788089	-0.0432061457264	0.0850436111706	-0.0962560063605	0.0970447401745	-0.0658177987873	0.0906007239109	-0.04832896936	-0.123054732127	-0.107654086735	0.0268005512798	0.0642595652391	-0.0318373674271	2.4271198481e-09
CP2.38.water	0.0634460790343	-0.244092812507	0.0697811728771	-0.136421288779	-0.048313169262	0.10259074428	-0.0559142862312	-0.0121261759209	-0.0808169889505	-0.0213110340159	-0.0290323406714	-0.105727149987	0.0437505064313	0.0834884080872	0.0319455216709	-0.054769811673	-0.0646677019403	0.0258200514379	0.109378604475	-0.0520473801877	-0.0307434320541	0.0497417581916	0.0238375373913	-0.0731953880826	-0.029000922998	-0.114410166258	-0.0246139878047	0.0627349143617	0.0181710697783	-0.0156958692974	0.00400664295081	0.0172684682988	-0.0280017909413	0.0263948354935	-0.0368735081291	-0.0565334951492	0.00077392487395	0.0100891964347	0.006559309002	0.0850245677821	0.00756506827689	0.0833345916618	-0.0335005600982	0.0380272139516	-0.0265737798083	-0.0165459719614	-0.0648482788296	0.0597437943717	0.0830435105784	-0.0446229230867	0.0322096117431	0.0325074303466	0.029052218523	-0.0255366126436	0.0568224138669	-0.0372022073991	-0.0792520117987	-0.0326838222388	-0.0113406699143	0.0919664531883	-0.00325837090893	-0.0177521877795	-0.0272472592522	0.00113932916049	0.00394648679546	0.0238205410731	-0.0312806104982	-0.0545771028091	-0.0935064429946	-0.10507574502	0.0189966033927	0.0304456644553	-0.0481342939162	0.020805678077	-0.0445378169858	-0.0362591287107	-0.0514971471244	-0.0203658268836	-0.02935828987	0.0172979551118	-0.0399013783088	0.0365639468269	-0.0705575973944	0.0019466780656	0.00205665263657	-0.0305143537397	0.00933851365454	0.0310845176624	-0.0002263854148	0.00292907013914	-0.054300309345	0.0494207377982	0.0112456479738	0.0300681484005	0.00222919109886	-0.000626805510236	2.4271198481e-09
CP.35.water	0.120131877005	-0.237773418632	0.0287836575339	-0.045158786897	0.0208009710518	-0.0678342535242	-0.00449974309855	0.100387618061	-0.00135207233238	-0.0136085174225	0.124701017117	0.0861379373591	-0.087580190331	-0.115858852611	-0.0662790237078	-0.0666103472612	0.00897587882095	-0.0551261627387	-0.0390145893492	0.0227323979111	-0.0506092455891	-0.0411311892173	-0.0597192268818	0.039714126363	0.0451317815647	0.014435215149	0.00375998616003	-0.0643136771997	-0.0252076323446	-0.0363567135691	0.0646399702278	0.0268628176113	-0.0151699251842	0.00222668767032	0.0330846258801	0.000375231139856	-0.00886782028685	-0.0154927024861	-0.0648514016278	0.0824938941226	0.0240234712336	-0.0542835783853	0.0989649374543	0.0561728568515	-0.0250501681913	-0.052926049112	0.0708044290801	0.0743772150563	0.0268743530569	0.0425165741145	0.0199629272277	0.034508342887	0.019944415617	-0.00589333122308	0.0635813138598	0.0393437517565	-0.00915770272534	0.00436299065381	-0.031064434037	-0.0244222759324	-0.00442745641639	-0.0183406838053	0.0329538012226	0.00313061672672	-0.0862459737791	0.044426744402	-0.00978479068327	-0.00740801545511	0.00836857928644	-0.0272267276825	0.00339491380007	0.0431075943866	0.0574044952594	0.110486461192	0.056231561527	0.0544647242841	-0.0433923506455	-0.0171059889718	-0.0117684859814	-0.0112893875575	0.0348525269029	0.00654178267046	-0.0485056509639	-0.0272881358568	-0.0350965061635	-0.0354701583834	0.0318696942785	0.0539082723833	0.0776730460836	0.0108978154499	-0.0732977492177	-0.0252986141816	0.0117667380835	-0.0388433553954	0.0254712102257	-0.0203703359696	2.4271198481e-09
CP.14.sed.PM	0.14956089088	0.11121517187	-0.0974484692109	0.0250321920715	0.0645149895706	0.128462031958	-0.0292491787146	0.0661231452722	0.0667564527998	0.048313503787	-0.0358754130559	-0.00457172682535	0.0135410229939	-0.0338376099043	0.0179047993353	0.0171033986273	-0.0232257694268	-0.00136239162468	-0.0276502566866	0.125436243162	-0.0331637751741	0.0395665729689	0.018730710641	-0.095483634602	-0.0828837446861	0.00226357597218	-0.0427828844633	-0.0783458193747	-0.0494960729482	-0.00829830414234	-0.011315451673	-0.0577163776195	-0.0426604975002	-0.0734511770661	0.0419655224277	-0.0765386048238	0.00639204022325	-0.032982831814	0.0373717472058	0.0377903861184	0.0739821791123	0.0545388909149	-0.0850011652758	-0.0332881215804	-0.047428207901	0.110643647236	0.0453595397522	0.000260195543944	0.0845225089614	0.0465166402966	-0.0212807779507	0.035520085533	0.117232027023	-0.021431769286	-0.0308491306742	-0.027527882138	0.0828909164039	0.0404831234324	0.0593480680497	-0.0601173125065	0.092512713706	0.0108806958338	-0.0743738869516	0.0109606369215	-0.0574642233922	-0.00297480020477	-0.0294497932061	-0.0636547183517	0.0167105592447	-0.0132906393093	-0.0272137454252	-0.0220146418526	-0.00632294600774	0.0452437864485	0.0201712941086	-0.0207027562203	0.048825396535	-0.0201164583459	-0.00128311707525	-0.055875853476	-0.0279145642873	0.00737595527619	-0.017861663109	-0.00484712191409	-4.59917723482e-05	0.0567859467379	-0.0146377200161	-0.0138784398629	0.0605542456877	0.0117743632508	0.0196737205766	0.0180420863179	-0.0102789340188	-0.00402563671098	0.0372547402764	-0.00436122585607	2.4271198481e-09
CP.45.water	-0.0349036780586	-0.117547171306	0.115025976948	0.00968346805859	0.0768816638975	0.0417592581065	-0.139961283524	-0.0266611450201	-0.0426796895083	0.0149390676971	0.000518553090303	0.0118354408024	-0.0213800577867	-0.0449112984265	-0.0343551518026	0.0295955101306	-0.0411766919993	0.141314144097	-0.0224232479508	0.0683186732615	0.0694158213281	-0.0375747828941	-0.143536221038	0.0953653827607	0.108615121692	-0.0208421819582	-0.0521731722206	-0.0774676292616	0.058763460316	-0.0522385063057	0.0139704457097	-0.027688847322	0.1123116099	-0.0301769764619	0.00143724306823	-0.0349540780351	-0.0110940289428	-0.0385257966754	-0.0506830510824	0.0152917767741	0.0908493767881	0.0211533630659	0.0678879553341	0.0209109217971	0.0120471480761	-0.0158067292477	0.0235120698532	0.0103890807654	-0.0625618273312	-0.0439752357709	0.0618480224907	0.0133486166958	-0.0015103459892	-0.0731609320788	-0.0247359540547	-0.00840177206103	-0.00433190056469	-0.002773474956	0.0912165204539	-0.00420891487814	0.0371130213279	-0.0240582939734	0.0015797755719	0.00652602966412	0.0251719870716	0.019854101629	-0.000720722399137	-0.042280988316	0.0129811031071	-0.0484170320388	0.0615351801612	-0.01412227374	-0.043712659946	-0.0906890957314	-0.000822886350482	0.0019328550568	0.0383579555121	0.0796532425657	0.0522085138733	-0.0110326369282	0.000107150553372	0.0792464188046	-0.0181115643725	-0.00460765624569	0.0132814706043	0.0772906547728	0.0159794925138	0.0336387036013	-0.0346356944211	0.0112166076971	0.00073610596041	0.00622738812971	0.0085938006814	0.0340402523241	-0.0144606569646	0.00788943508977	2.4271198481e-09
