pc vector number	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97
CP.13.sed.PM	-0.251020656811	0.136285087024	0.00751254905493	-0.0743704195738	0.0776553489006	-0.0156644809545	0.0808025478636	-0.0707588285026	0.0729597846637	-0.013383363103	-0.0724029207066	0.0371820617688	-0.11420608149	0.119005542866	-0.0858881463857	0.0974769288592	-0.067157001452	0.0474642160982	-0.0842753164048	0.00196314558605	-0.00448280895854	-0.016554244162	0.0486992443144	0.00256943811472	0.0526935755358	-0.0165746415728	-0.0344492783567	0.0533433569936	0.0456909537447	-0.0371715878403	-0.00689284095064	-0.0207924473643	-0.0112625282145	0.0292744478097	0.0519210247992	0.00368271788019	-0.00331238988602	-0.0634016360389	-0.0231224701563	-0.0533174115945	0.0449921778204	0.0157706038391	0.00703855851318	0.00122319563173	0.0472810525231	0.00762763505754	-0.0439060347844	-0.0495478845522	-0.00761535131839	0.00911930027181	0.0235766173684	0.0575392112346	0.0658444053768	0.0110158182316	-0.0638307071357	-0.0247916666917	-0.0248054087482	-0.000940621120161	-0.0371940212463	-0.00184686423106	0.0731771724795	0.00209317291579	0.00817745081323	0.0362738748947	0.041814938245	-0.00121608530066	-0.0309656313259	-0.0379064307063	-0.00592661475806	-0.0410933452168	-0.0885504668394	0.0136063060104	0.0642976239957	0.0212791126346	0.0112441763913	-0.0830240692458	-0.00789230085213	-0.00969470710717	0.0860651164749	0.00782757411504	0.0867728169656	-0.128501894796	-0.00764351670601	-0.0081331940512	-0.147136507212	0.0516416374131	0.0889225009707	-0.133788894397	0.147269378577	-0.156628463704	0.0470409249809	-0.0199224389069	0.0849401928911	-0.0230031674134	0.0651008712028	-0.026822810173	-1.03924132722e-08
CP.39.water	0.0977866035647	-0.212159262746	-0.0101391712597	0.0750731978658	-0.00568105927564	-0.0369861182872	0.0465023202995	-0.117162378705	-0.0410384194314	0.0997044980736	0.0319216722593	-0.0113615540002	-0.0817311227829	-0.0815426866112	0.095651278679	-0.11975899506	-0.109992116473	0.170818442285	-0.114463550589	0.132021584309	0.0778808331663	0.00626808344112	-0.0891910970469	-0.182928862569	-0.0133623277756	0.0594751379048	-0.0446161565676	0.0456886185218	0.0500169953499	0.137490441622	-0.050236194415	0.0227932925062	-0.0524483280069	0.0984416533527	0.0276759710024	0.0187950101506	-0.000105664384942	0.0321503555698	-0.0638866577022	-0.0973401737696	-0.0440302401808	0.00746029657535	0.0138545425801	-0.0254844196166	-0.0498230455629	0.103421914843	0.0109019942796	0.0269044585312	0.0741676511963	-0.00756116976529	-0.0904297292384	-0.0331471255959	0.0112519066062	-0.0560919010977	-0.05622545094	-0.014257727849	0.0496992133856	0.0121211327465	-0.00600193424792	-0.0762554946233	0.0560007668878	0.0247317724698	0.0170813179938	-0.00445020274324	-0.0162739797259	0.0736990760204	0.0492123342421	-0.018010722697	0.0353615379961	-0.0798397103684	-0.0050200035425	-0.0287629569164	-0.0218146810989	-0.00232141354092	0.0130612108266	0.00627564106666	-0.108652343159	-0.0263759490046	0.047426086827	0.0823261639587	-0.0631935162851	0.116332903122	0.0346694105823	0.0507746012503	0.017947494737	-0.0274340048441	0.0748176448003	-0.0895076436325	-0.0276575442367	-0.00229106487542	0.00950084646395	-0.00867289744131	0.0177860002736	0.0126452646518	-0.00221061533189	-0.00469119955708	-1.03924132722e-08
CP2.42.water	0.0765515941772	-0.230502452449	-0.0774093834077	0.12956702566	0.127427272415	-0.192082872297	-0.0205139520706	0.0935642144051	0.0684564881825	-0.0452688450769	-0.0232753375389	0.0393204644225	-0.0161651910871	0.0644907428669	0.0319349846952	-0.000782424885534	0.0366086113689	0.0402107739244	-0.027472011128	-0.0368390262386	-0.00137624502207	0.125776074019	0.0919914374762	-0.126005462353	0.0614804700223	0.0668440692456	-0.0719694676973	0.0141238124559	-0.0191191162997	0.0991768210917	0.0304358761458	0.0181628651953	0.0272530815091	-0.0345087565539	-0.0126427010754	-0.120498440856	-0.0721708520239	0.0823154271731	0.0606976872476	0.0593381458027	-0.0228727303025	-0.0558688434128	0.0998836465942	-0.0935574991397	0.100429964516	-0.0356448713074	-0.0797825497683	-0.0988442969354	0.0316114938945	0.035867635366	0.000735919248031	0.0366145226533	-0.0316923116964	-0.0405149445441	0.0276256640925	0.0137467980694	-0.00718634272366	0.0474711952922	-0.00147453295064	-0.0287137092285	-0.0201495814716	0.0345408782387	-0.0286697465847	0.0310583628104	-0.0297672470689	-0.130221311233	-0.0632197808313	-0.0656682579312	-0.0896550180377	0.0154384400909	0.00335218277063	0.056061072385	0.0151832669584	0.0360219546851	0.0742897097275	-0.0267575799504	0.0524457612493	0.0479318964023	0.0554723336077	-0.141079126158	-0.00107442547693	0.0616555804954	-0.136499047901	0.111988517929	0.00939038022301	-0.00609300504254	0.022830605672	-0.0496779581514	-0.0179138486108	0.0470556789109	-0.0306219503821	-0.00321407799355	0.00536273976695	-0.000668509855227	-0.00692719442294	0.00453235232056	-1.03924132722e-08
CP.12.sed	-0.242293218268	0.0614574294116	-0.0279436675589	-0.12049113822	0.162825122536	0.0669420518874	0.0197783811332	0.0132548961883	0.113758300735	0.0834487506889	-0.0174340675511	0.0560743332541	-0.140795148849	0.023055939809	-0.0581007618614	0.0524007695371	-0.00604015205414	-0.026177571369	0.030089216282	0.0407429410121	-0.0666238486497	-0.00621335466217	-0.0449786837903	-0.0195435461245	0.0350650380278	0.0956257531917	-0.0339362791635	-0.017070430061	0.0025983755708	0.0706458692554	0.000321697419781	-0.0134089040176	-0.0535659893505	0.0401362416791	-0.0248887417249	0.0123330631948	-0.000563716187146	0.00519286857981	0.0591415593106	0.00976500286507	0.0166539530195	0.0679977148833	-0.0202877206938	0.0586449403401	-0.0596344013818	-0.135408095587	-0.00596371163012	0.0116860498945	-0.0166242615629	-0.0801820654574	0.0411499611351	-0.0263739829121	-0.0213617482069	-0.0439164480702	0.0825081948246	0.0495919028624	-0.0653468675041	0.0573305577075	0.0173196148641	-0.054333885532	-0.0883107863699	0.057940238803	-0.0206187015258	0.0162694781202	0.0482885271184	-0.0308446470254	0.118380014229	0.0566730864292	0.0208226789875	0.0694640311631	0.146543711889	0.0209807002293	-0.0937261450201	0.0587288239543	-0.0581873779177	0.00771078569588	-0.105903862421	-0.0191316871249	-0.0768361727102	0.0388988586269	-0.125416667139	-0.00522749878944	-0.143403795747	-0.0153399333448	0.0235185450712	-0.041355815953	0.0362538941084	-0.00165531341608	0.153067852018	0.0155838104557	0.00269745012645	0.0191083359243	0.0297024185464	0.0418712165315	-0.0146047332435	-0.0139119580624	-1.03924132722e-08
CP.49.water	0.0519279898242	-0.290626115939	-0.0503370324331	0.0399350344627	0.0262110027071	-0.0764849308013	-0.200194920472	-0.0247269368934	0.0142593445255	-0.0815593511653	-0.108329251341	0.00202541580469	-0.0911304967869	-0.0210924766494	-0.0384607006717	-0.0354669647602	-0.0183004910519	-0.0504629668943	-0.0759407207293	-0.00772193680465	-0.0418894555217	0.0067539473839	-0.0447526059449	0.0331274131657	0.0499238507354	0.0271371839599	0.0126603903293	0.0217737031176	0.0475227289572	0.02207096114	0.00939082354778	-0.00100681873713	-0.0591545208881	-0.047209985186	-0.0935412715109	-0.0488715696151	-0.0961010254511	0.00831354588664	-0.00480105562814	-0.0219696929034	-0.0340801352314	0.0522596789162	0.0648627280736	-0.0586235652042	0.0480495622245	0.0682324754431	-0.0581876333005	0.0519576188415	-0.0341603883462	0.141455292452	-0.0123249321514	-0.0451834254744	0.0215568590143	-0.0274468504829	0.0429829537218	0.0316092359264	-0.0700258723341	-0.0132213098697	0.0414177467193	-0.0208674456897	0.00433360377086	0.0619632133451	0.0606515140401	0.133811776596	-0.0349014025329	-0.00169767873848	-0.10925228732	0.00864329090825	-0.0307055294786	0.00471010072637	0.00626685230102	0.0120994822949	0.068686845417	-0.0373002969543	-0.0547717332678	0.0526560896131	-0.0386483623206	-0.0582830580813	-0.0617398982971	0.0458982985129	-0.0245242383121	0.0293028673618	0.128358878574	-0.0397917094894	-0.0645341847097	-0.110212802501	-0.074136217073	0.166761310307	0.100288314628	-0.0690650799173	0.0663830962597	0.00228515052786	0.0064475544423	0.0140512489522	0.0124405276733	0.00170957467578	-1.03924132722e-08
CP.7.sed	-0.318612880933	0.0749144662284	0.0746328362301	-0.133662157582	0.166606502225	-0.0369486656697	0.0816489561266	-0.0247060212646	0.0498503528869	0.00774839129974	-0.0792762954417	0.045918476551	-0.0594276623868	0.0288998903968	0.0188062187717	0.0133039255809	0.0252254061072	0.0133324811392	0.00979100876374	0.00934654108632	0.0208437503978	0.0126842117789	-0.0290182192689	0.0226317465484	-0.006159698074	0.0289729792594	-0.0396105264395	0.0119474692324	0.00771764387661	-0.0351985001037	-0.0129688677533	0.0202097973919	-0.0426666053645	-0.00377411742708	0.0132781607927	-0.0618448370555	-0.0593646972937	0.0140217944609	0.00743771391058	-0.00797047682985	0.0295282557664	0.0404760281179	-0.113172021524	-0.0179702196378	0.023373550651	0.0198154153464	-0.0126679802965	-0.0142236173897	0.0199825307546	0.0756122583523	-0.00409998351028	-0.0231075108252	-0.00281526216459	-0.0260311911293	0.0234439126582	-0.0174731057967	0.0269212041513	0.0212016882542	0.0829344712286	0.00849161418174	0.0276448757847	0.00581612041477	-0.0352613717239	-0.0185392757346	0.0276553398137	0.0152591110012	-0.0110352886903	0.0589588420313	0.0128053030239	-0.0435125980652	-0.0563888581927	0.0159990115435	-0.0206557744263	-0.0163717969373	0.046325599366	-0.0188319432708	0.0529085803191	-0.0711110375418	0.0729730047685	0.115128723144	0.067057857629	0.0685055988069	-0.0354362773674	-0.0298777932915	-0.0462507277498	-0.00556918889505	-0.0571493691679	0.0113429390864	-0.00525177399871	0.0190939025171	-0.154948505963	0.00111490228278	-0.296259236234	0.00960188477495	-0.00696534775362	-0.0722377229638	-1.03924132722e-08
CP2.38.water	0.0630759275735	-0.254441467397	-0.0600848358411	0.094048069475	0.103035691454	-0.182367159214	0.00844377273123	0.0751426994717	0.0937852969929	-0.0578516426023	0.0103202360802	-0.0221941171882	0.0221493649901	0.0502616055179	0.0444047447309	-0.0042273715739	-0.0236092923541	0.0507044973374	-0.00655238962664	-0.0456057029484	0.0271391482665	0.0344940143702	0.0436284919852	-0.00618525834742	0.0848252160769	-0.0197138671463	-0.0768534623259	-0.0132236467032	-0.0617356864685	0.0340727807363	0.0582282927668	-0.022285619922	0.0967649764526	0.0431934497778	-0.0148478736581	-0.0364892298815	0.00655467804895	0.0127797199479	-0.0231477965275	-0.0470588255419	-0.0469769532866	0.0176000861325	0.0805232972129	0.0449770262752	0.000961530866716	-0.00830205189268	-0.0345856741678	0.0480862246376	0.100615619123	-0.014844253897	0.0395309402458	0.0382489661653	0.036787667223	-0.0997798600625	-0.19201800724	0.00511665150982	-0.0284756754217	-0.0501930077744	-0.0675250938851	0.0151387488345	-0.107526323188	-0.0380109200161	-0.00873335696274	-0.0654687679115	0.0880510930855	0.00865734816585	0.0460348069394	0.149183657547	0.149725944243	0.0167312193992	-0.0509919618552	0.0555131624354	-0.00678038387338	-0.0310716306629	-0.00611742700347	0.0941852635755	0.0620572561563	0.078598471689	-0.0706957770428	0.109929884886	0.0299814728144	-0.128036991994	0.0260862039724	-0.0840260875204	0.0245508121456	-0.0185198977385	-0.033078788451	-0.00752181835124	0.00134227974234	0.0501859240884	0.0293697691035	-0.0123582410965	-0.0187737908352	0.00793919462163	0.000237402660094	-0.0178026334196	-1.03924132722e-08
CP.35.water	0.091769945495	-0.21522625451	-0.0346295104521	0.0615472331934	0.0324953379691	0.0321887842113	0.0859425959693	-0.198335465534	-0.0411426460904	0.083425181823	0.0634378563389	-0.0230943936154	-0.0931567719783	-0.148124169774	0.0387817346259	-0.102414020279	-0.0868648477905	0.099204278362	-0.155237658102	0.0031815116067	-0.0635308488688	0.0918937728883	-0.0323084899308	-0.0096561765635	-0.0922302156995	0.0785032432146	0.00281258502379	0.00111854574902	0.0743072567966	0.0409103440764	0.0429443320708	0.112276063069	0.0835004560863	0.0266794899054	0.0167910763166	-0.0454508545074	0.0351644078242	-0.0271633789208	-0.0146603811592	0.132685553618	0.0499668263714	-0.0079098946681	-0.0454297257819	0.06611212342	0.0772165910905	-0.0749434051057	0.114853680298	-0.0559065967254	-0.0852334310627	-0.0366299184768	-0.0187148008409	-0.0387209356687	0.0334151757988	0.0724293294096	-0.0212948816857	0.0205798805695	0.0608092084008	-0.0273955340167	0.0617499887828	0.0771915837286	-0.0454131813305	0.0185132041868	-0.0699583984414	-0.00270827290665	-0.057058804642	0.034286905519	-0.0231892266204	0.054479142975	-0.0311560788749	0.0931747277396	0.0171314414472	0.0449884276696	0.077522289115	0.000875639470958	-0.025107046559	-0.0395751555482	0.116264650214	-0.0828725895832	-0.0628106882656	-0.0644074072144	0.0290982976256	-0.127571522256	-0.00458140097121	-0.0447971641058	0.00485854769785	-0.00832739414053	-0.0245007801406	0.000512685200591	0.0355234140096	0.0106514148884	0.00412194737441	0.022108432011	-0.0221276427568	-0.0102851577216	-0.00252397635994	0.00786082012602	-1.03924132722e-08
CP.14.sed.PM	0.126149775095	0.117861125605	0.101967852887	-0.0346236075427	-0.153911602588	-0.1136099997	0.00948285880277	0.0746214309523	-0.0219208329058	0.09491669395	-0.041004990114	0.00389024572872	-0.0702223076693	0.0153475602836	-0.0305088088448	-0.0471142624292	-0.021259854468	-0.00134059751343	0.00425647094861	0.153536850426	0.00989509191072	-0.0155052279639	0.0435587780354	-0.0300073134382	-0.0178505538755	-0.05995567869	0.0793036711665	-0.0517021018056	-0.0484915532831	-0.101781836286	0.0957531535851	-0.0121638488511	0.0342093148451	0.0902857816585	0.0850172927933	0.0114217463664	-0.0909306179988	-0.0252346197463	0.016938950405	-0.0251964386055	-0.0585906037642	-0.0682616687771	-0.0202463573663	-0.000521712934638	-0.0104701369405	-0.149751153986	-0.0616699682905	0.028350531768	-0.0727512446049	-0.00184792020802	0.0411924397306	-0.0967527108188	0.0872660444433	0.000852685710252	0.0101240527746	-0.0701741451297	-0.0207417898883	0.00143242033135	0.0876020357254	-0.0042380849142	-0.0841238654953	0.00477253670055	0.059383772251	0.0258289649611	-0.0684941073056	0.00881171458506	-0.0956418237781	0.0650418798871	-0.00378190424402	-0.138527146029	0.0884305026892	0.0981168590716	0.0246642882471	-0.00314805347377	-0.0943990588176	-0.0578744094586	0.144336654308	0.112163617114	0.00454145686264	0.0593604604339	-0.0631978283643	0.0690720985218	0.0448608751945	0.0237694144607	-0.0339329560576	0.0152431074223	0.0559789636604	-0.0395284190902	0.00182164735978	0.0420026423306	-0.011675257753	-0.0163333350871	0.0182670320598	0.00411873337578	0.00928480799479	-0.0130418211872	-1.03924132722e-08
CP.45.water	-0.0699158293632	-0.142340806242	-0.0985170174663	-0.0520327252001	-0.0673276645384	-0.126815337213	-0.0842576499516	-0.102387689925	-0.0971646523373	-0.0468588964999	0.0663713822734	0.0266182688299	-0.0311043251147	-0.0824478001865	-0.0748879703709	-0.0656463260071	-0.057082775231	-0.040437465056	0.0895582048869	0.0537426396196	0.0220783405319	-0.0276656539525	-0.0579337649957	0.0176637813795	0.119266614256	0.0301334554262	0.0658402161238	-0.00543955830241	0.0228591705784	-0.00302923551585	-0.0836028174648	-0.0587265160388	-0.00260480170831	0.0897299685567	-0.132616547272	0.100606583607	0.012362274963	-0.01593617659	0.0975054988765	-0.00954247875204	0.121484121173	0.165946800858	0.0832957372953	0.13443239049	0.0461358032178	-0.127825145861	-0.0801900449558	-0.0852984601913	-0.0592095696595	0.0590399042686	0.063827802099	0.00284534507361	0.00393374000823	0.0111346555168	-0.00773743933302	-0.0818436396267	-0.0194338454769	0.0134779903283	-0.12179521781	-0.0137651348813	0.030020179019	0.0229428818513	-0.0385463385808	-0.00624954517329	0.027469133052	0.0405410311809	0.0536803757812	-0.0800255378861	-0.00284618752292	-0.0877839860416	0.0137562760517	0.00987428846453	0.0558274889487	-0.00721525974392	0.139376154613	0.0286639567285	0.0639297410297	-0.0323666082371	0.00796002644303	-0.00256660919416	-0.0203478101545	-0.021653640573	-0.00243993474746	-0.0015074573308	0.00429712498602	0.0098263760877	0.0623479779246	0.0386781321252	-0.0865323249241	0.0393804855151	-0.0214563581293	0.0171668802834	-0.0239846444682	-0.0320492205398	0.0168601328395	0.00698360139959	-1.03924132722e-08
